age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
5,8,0,9,12,0,14,0,0,0,0,0,7,0,1
3,3,4,9,12,2,4,3,0,0,0,0,12,0,0
14,5,2,10,15,2,4,3,0,0,0,0,12,0,1
16,4,2,9,12,1,8,3,0,0,0,0,14,0,0
0,8,3,2,7,2,14,3,0,0,0,0,9,0,0
10,5,5,15,9,1,5,5,0,0,0,0,12,0,0
14,0,1,5,3,4,11,5,0,0,0,0,9,0,0
2,0,5,15,9,2,2,3,0,0,0,0,10,0,0
8,0,3,9,12,5,5,3,0,0,0,0,12,0,0
3,0,3,9,12,2,2,3,0,0,0,0,11,0,0
3,8,7,9,12,2,14,3,0,0,0,0,12,0,0
6,0,5,7,11,2,8,3,0,0,0,0,12,0,0
4,8,0,15,9,2,14,5,0,0,0,0,12,0,0
2,0,4,15,9,2,8,1,0,0,0,0,11,0,0
2,0,4,11,8,2,2,3,0,0,0,0,12,0,0
10,5,0,10,15,1,5,3,0,0,0,6,12,0,0
7,0,8,7,11,0,4,0,0,0,0,0,15,0,1
2,0,2,9,12,2,4,1,0,0,0,0,10,0,0
5,0,6,15,9,1,8,5,0,0,0,0,12,0,0
2,0,0,11,8,2,8,3,0,0,0,0,12,0,0
13,0,2,11,8,0,8,0,0,0,0,0,11,0,0
8,0,3,15,9,1,3,3,0,0,0,0,12,0,0
3,0,6,9,12,2,8,3,0,0,0,0,12,0,0
5,1,6,15,9,0,2,0,0,0,0,0,9,0,0
17,8,5,12,13,2,14,3,0,0,0,0,0,0,0
1,8,3,11,8,2,14,1,4,0,0,0,6,0,0
16,0,2,2,7,0,2,0,0,0,0,0,12,0,0
4,4,2,11,8,2,10,5,0,0,0,0,12,0,0
20,4,7,9,12,4,5,5,0,0,0,0,1,0,0
1,5,0,15,9,2,0,3,0,0,0,0,15,0,0
1,0,3,15,9,2,2,1,0,0,0,0,10,0,0
7,5,1,9,12,2,5,3,0,0,0,0,12,0,0
10,0,3,15,9,1,8,5,0,0,0,0,12,0,0
19,0,0,12,13,2,8,3,0,0,2,0,6,0,0
8,0,5,2,7,1,8,5,0,0,0,0,12,0,0
1,8,5,15,9,2,14,1,0,0,0,0,12,0,0
5,3,3,8,10,2,4,3,0,0,0,0,12,0,0
2,0,3,15,9,2,8,3,0,0,1,0,12,0,0
11,0,3,6,4,0,7,0,0,0,0,0,12,0,0
6,0,3,12,13,0,3,0,0,0,0,0,14,0,1
10,1,1,9,12,0,3,0,1,0,0,0,19,10,0
14,0,5,11,8,1,8,3,0,0,0,0,12,0,0
1,0,2,7,11,2,5,3,0,0,0,0,11,0,0
2,0,4,15,9,2,2,1,0,0,0,0,9,0,0
2,0,4,9,12,2,8,1,0,0,0,0,12,0,0
7,5,1,15,9,0,4,0,0,0,2,0,12,0,1
21,0,2,15,9,0,8,0,0,0,6,0,11,0,1
7,0,4,4,2,0,11,0,0,0,0,0,12,36,0
6,0,3,11,8,2,2,3,0,0,0,0,10,0,0
11,8,4,11,8,4,14,5,0,0,0,0,12,0,0
9,0,12,15,9,0,8,0,4,0,0,0,12,0,1
9,8,3,9,12,2,14,1,0,0,0,0,12,0,0
8,1,0,15,9,0,7,0,0,0,0,0,12,0,0
15,4,1,8,10,4,8,3,0,0,0,0,12,0,0
0,0,4,1,6,2,2,3,0,0,0,0,6,0,0
6,0,1,12,13,2,4,3,0,0,0,0,12,0,0
17,8,2,11,8,4,14,3,0,0,0,0,1,0,0
19,0,2,9,12,1,4,3,0,0,0,14,1,0,0
6,0,2,1,6,2,6,1,4,0,0,0,12,0,0
9,5,18,15,9,3,5,5,4,0,0,0,12,0,0
15,3,3,12,13,1,8,5,0,0,0,0,12,0,0
16,0,3,9,12,5,5,4,4,0,0,0,11,0,0
19,3,2,1,6,4,8,3,0,0,0,0,6,0,0
4,0,1,15,9,2,5,3,0,0,0,0,12,0,0
2,0,2,15,9,1,8,4,0,0,0,0,6,0,0
