age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
3,0,3,11,8,1,3,5,0,0,0,0,9,0,0
7,8,2,15,9,1,14,5,0,0,0,0,12,0,0
17,0,3,8,10,0,4,0,0,0,0,0,14,0,1
17,0,3,9,12,1,2,3,0,0,0,0,2,0,0
16,0,2,9,12,1,4,3,0,0,0,0,12,30,1
3,0,4,11,8,2,2,1,4,0,0,0,6,41,0
2,0,4,0,5,0,7,0,0,0,0,0,12,0,0
1,0,1,1,6,2,8,4,0,0,0,0,12,0,0
8,1,4,15,9,5,2,5,0,0,0,0,12,0,0
9,0,2,9,12,0,5,0,0,0,0,0,1,0,0
10,5,5,15,9,1,8,4,0,0,0,0,12,0,0
0,0,4,1,6,2,3,1,0,0,0,0,6,0,0
1,0,1,15,9,2,7,1,0,0,0,0,9,0,0
11,0,2,11,8,0,8,0,0,0,0,0,3,0,1
9,0,5,11,8,1,2,3,0,0,0,0,12,0,0
3,1,4,12,13,2,5,3,0,0,0,0,15,0,0
9,1,3,7,11,0,8,0,0,0,0,0,12,0,0
0,0,6,2,7,2,2,1,0,0,0,0,3,0,0
7,0,2,12,13,2,3,3,0,0,0,0,12,0,0
11,0,2,7,11,3,8,5,0,0,0,0,18,0,0
3,0,3,9,12,2,4,1,0,0,0,0,11,0,0
1,0,3,0,5,2,3,5,0,0,0,0,12,0,0
6,0,1,9,12,2,0,3,1,0,0,0,12,15,0
5,4,7,9,12,1,5,5,0,0,0,0,12,0,0
14,0,0,11,8,1,8,5,0,0,0,0,12,0,0
10,8,2,9,12,0,14,0,0,0,0,0,4,0,1
6,0,11,15,9,3,0,5,4,0,0,0,12,0,0
3,0,2,9,12,2,5,3,0,0,0,0,12,0,0
1,0,2,15,9,2,3,3,0,0,0,0,9,0,0
6,0,4,15,9,1,3,5,4,0,0,7,12,14,0
1,0,0,15,9,2,8,1,0,0,0,0,6,0,0
10,0,4,11,8,1,8,1,0,0,0,0,12,0,0
0,0,3,0,5,2,3,1,0,0,0,0,4,0,0
22,0,1,5,3,4,2,3,0,0,0,0,7,0,0
11,0,1,8,10,0,4,0,0,0,0,0,14,0,1
0,0,1,11,8,2,4,1,0,0,0,0,10,0,0
4,0,1,15,9,1,3,3,0,0,0,0,12,0,0
2,0,7,11,8,2,8,3,0,0,0,0,15,0,0
5,0,4,11,8,1,8,3,0,0,0,0,12,5,0
4,0,1,15,9,3,2,5,0,0,0,0,4,0,0
10,1,3,9,12,0,7,0,1,0,0,0,25,34,0
13,0,5,15,9,3,8,3,0,0,0,0,12,0,0
4,0,0,15,9,1,2,3,0,0,0,0,9,0,0
17,1,5,12,13,5,3,3,0,0,0,0,6,0,0
9,0,5,9,12,1,5,5,4,0,8,0,6,0,1
1,0,0,15,9,2,4,1,0,0,0,0,6,0,0
4,0,6,9,12,2,3,3,0,0,0,0,19,0,0
2,0,7,15,9,2,8,1,0,0,0,0,6,0,0
7,0,3,11,8,3,1,5,0,0,0,0,13,0,0
0,0,7,1,6,2,8,1,0,0,0,0,4,0,0
18,0,3,9,12,1,5,3,0,0,0,0,10,0,0
12,0,4,15,9,2,1,5,0,0,0,0,11,0,1
6,4,2,15,9,2,12,3,0,0,0,0,12,0,0
0,0,2,1,6,2,2,1,0,0,0,0,6,0,0
6,0,4,8,10,2,5,3,0,0,0,0,11,0,0
2,4,6,9,12,2,5,1,0,0,0,0,10,0,0
9,0,3,11,8,5,1,5,0,0,0,0,12,0,0
8,0,5,9,12,0,5,0,0,0,0,0,7,0,1
3,0,2,11,8,2,8,1,0,0,0,0,10,0,0
12,0,5,11,8,1,8,3,0,0,0,0,12,0,0
4,8,3,15,9,2,14,4,0,0,0,0,12,0,0
4,0,5,11,8,2,2,5,0,0,0,0,12,20,0
6,0,2,15,9,1,8,5,0,0,0,0,12,0,0
4,0,2,0,5,2,2,1,4,0,0,0,10,0,0
2,0,4,9,12,2,3,3,0,0,0,0,14,0,0
3,8,4,15,9,1,14,5,0,0,0,0,7,0,0
5,5,4,11,8,1,8,5,0,0,0,0,9,0,0
15,0,3,1,6,4,2,3,0,0,0,0,12,0,0
2,0,2,11,8,1,3,3,0,0,0,0,9,0,0
6,0,1,15,9,3,4,5,0,0,0,0,12,0,0
0,0,3,11,8,2,2,1,0,0,0,0,2,0,0
12,0,3,12,13,0,5,0,0,0,0,0,11,0,0
13,0,6,15,9,1,4,5,0,0,0,0,12,0,0
3,0,4,1,6,5,6,3,0,0,0,0,12,20,0
5,0,4,15,9,2,6,5,0,0,0,0,12,0,0
2,0,7,7,11,2,3,3,0,0,0,0,4,0,0
12,0,4,11,8,2,2,1,0,0,0,0,12,4,0
10,0,1,11,8,0,1,0,0,0,0,0,12,0,1
2,0,3,15,9,2,3,3,0,0,0,0,9,0,0
6,0,2,15,9,2,4,5,4,0,0,0,10,0,0
10,0,9,15,9,1,5,3,0,0,0,0,12,0,0
7,8,4,7,11,0,14,0,4,0,0,0,6,28,0
0,8,4,1,6,2,14,1,0,0,0,0,4,0,0
18,0,3,7,11,2,5,4,0,0,0,0,9,0,0
14,0,5,15,9,1,7,3,4,0,0,0,12,0,0
1,3,0,2,7,2,2,1,0,0,0,0,9,0,0
7,3,0,11,8,1,5,5,0,0,0,0,12,0,0
11,1,3,15,9,2,2,5,4,0,0,0,12,0,0
5,5,6,11,8,3,8,3,0,0,0,0,12,0,0
7,1,5,9,12,2,2,3,4,0,0,0,19,0,0
21,0,1,11,8,4,3,5,0,0,0,0,8,0,0
5,0,3,15,9,2,2,1,4,0,0,0,12,0,0
13,5,2,12,13,5,4,5,0,0,1,0,13,0,1
5,0,3,1,6,0,2,0,0,0,0,0,12,41,0
7,0,2,15,9,0,8,0,0,0,0,0,12,0,0
4,5,1,15,9,2,8,5,1,0,0,0,12,15,0
22,8,6,4,2,4,14,5,0,0,0,0,12,0,0
3,0,0,15,9,0,7,0,3,0,0,0,12,3,0
5,0,0,7,11,0,2,0,0,0,0,0,7,0,1
2,4,4,7,11,2,12,1,4,0,0,0,10,0,0
3,1,2,7,11,0,8,0,0,0,0,0,10,0,1
3,0,4,15,9,2,0,1,0,0,0,0,13,0,0
8,0,3,9,12,2,3,3,0,0,0,0,13,0,0
2,0,4,9,12,2,5,1,0,0,0,0,11,0,0
8,1,1,7,11,0,8,0,0,0,0,0,12,0,1
4,0,2,9,12,0,5,0,0,0,0,12,7,0,1
3,0,3,12,13,2,5,1,0,0,0,0,12,0,0
18,0,2,11,8,4,0,3,0,0,0,0,5,0,0
8,4,2,7,11,0,8,0,0,0,0,0,6,0,1
1,0,3,15,9,2,2,1,0,0,0,0,7,0,0
10,4,7,15,9,1,8,3,0,0,0,0,6,20,0
0,0,4,11,8,2,3,1,0,0,0,0,9,0,0
8,0,7,12,13,1,0,5,0,0,0,0,12,41,1
9,0,2,15,9,1,2,5,0,0,0,0,10,0,0
2,0,2,11,8,2,3,1,1,0,0,0,12,19,0
18,0,3,11,8,1,2,4,0,0,0,0,4,0,0
16,0,4,6,4,3,7,5,0,0,0,0,12,20,0
19,0,0,7,11,1,0,3,0,0,0,0,12,0,0
1,0,2,15,9,2,2,1,0,0,0,0,7,0,0
11,0,2,7,11,1,0,3,4,0,0,0,11,0,0
4,0,7,11,8,2,7,5,4,0,0,0,12,0,0
6,0,2,7,11,2,0,5,0,0,0,0,12,0,0
11,0,3,11,8,1,0,3,0,0,0,0,6,0,0
20,8,2,9,12,1,14,3,0,0,0,0,1,0,0
15,0,4,0,5,1,2,5,4,0,0,0,14,0,0
12,0,4,11,8,1,8,5,0,0,0,0,13,0,0
9,8,5,15,9,4,14,5,4,0,0,0,6,0,0
15,5,2,15,9,1,5,5,0,0,0,0,12,0,0
21,5,2,5,3,4,2,5,4,0,0,0,12,0,0
6,0,3,11,8,0,7,0,0,0,0,0,12,0,0
3,0,6,1,6,1,8,1,0,0,0,0,12,0,0
1,0,8,15,9,2,3,3,0,0,0,0,12,0,0
17,0,5,11,8,4,8,3,0,0,0,0,11,0,0
2,1,0,11,8,2,2,1,0,0,0,0,15,0,0
6,0,1,9,12,3,5,5,0,0,0,0,10,0,0
1,0,3,15,9,2,8,1,4,0,0,0,6,0,0
1,0,2,11,8,2,7,4,0,0,0,0,12,0,0
10,0,2,11,8,1,2,3,4,0,0,11,10,0,0
10,0,4,11,8,6,1,0,4,0,0,0,13,0,1
7,0,4,7,11,1,0,3,0,0,0,0,12,0,0
7,4,7,9,12,0,8,0,0,0,0,0,10,5,1
18,0,5,9,12,1,5,3,0,0,0,0,6,0,0
6,0,3,2,7,2,3,1,0,0,0,0,10,0,0
13,3,7,11,8,1,8,5,0,0,0,12,12,0,0
5,1,3,7,11,1,8,3,0,0,0,0,12,0,0
8,0,0,11,8,1,2,5,0,0,0,0,12,0,0
4,0,2,15,9,2,5,3,0,0,0,0,12,0,0
1,0,3,8,10,2,3,3,4,0,0,0,10,0,0
4,0,3,15,9,2,0,1,3,0,0,0,10,18,0
12,0,3,1,6,1,3,3,0,0,0,0,12,0,0
3,0,0,8,10,2,2,3,0,0,0,0,12,0,0
7,0,8,8,10,1,8,5,0,0,0,0,12,0,0
4,0,3,14,14,2,5,1,0,0,0,0,12,0,0
4,0,3,11,8,1,8,5,0,0,0,0,12,0,0
21,8,3,11,8,4,14,3,0,0,0,0,2,0,0
10,0,2,9,12,1,3,3,0,0,0,0,14,0,0
6,0,3,15,9,1,8,5,4,0,0,0,11,0,0
1,0,8,15,9,2,2,1,4,0,0,0,15,0,0
1,0,2,15,9,2,3,1,0,0,0,0,6,0,0
16,0,4,15,9,1,8,4,0,0,0,0,12,0,0
8,0,2,9,12,2,0,3,0,0,0,0,14,0,0
0,0,2,11,8,2,3,1,0,0,0,0,6,0,0
1,8,7,15,9,2,14,1,0,0,0,0,10,0,0
9,0,4,11,8,3,10,5,4,0,0,0,12,0,0
2,0,4,11,8,2,2,3,0,0,0,0,15,0,0
0,0,8,2,7,2,2,1,4,0,0,0,10,0,0
4,0,3,11,8,0,4,0,0,0,0,0,12,0,0
11,0,3,15,9,3,2,3,4,0,0,0,10,0,0
23,1,3,11,8,4,2,3,0,0,0,0,7,0,0
8,0,5,11,8,2,2,3,0,0,0,0,7,0,0
13,5,2,15,9,1,8,4,0,0,1,0,12,0,0
7,0,2,5,3,0,7,0,0,0,0,0,12,0,0
19,0,2,11,8,4,2,3,0,0,0,0,7,0,0
15,8,2,11,8,1,14,3,4,0,1,0,12,0,0
4,0,4,15,9,2,8,3,0,0,0,0,12,0,0
1,0,1,11,8,2,1,1,0,0,0,0,12,0,0
12,0,2,15,9,1,3,3,0,0,0,0,4,0,0
15,4,4,11,8,4,8,3,0,0,0,0,12,0,0
2,0,0,15,9,2,0,3,0,0,0,0,12,0,0
1,5,2,15,9,2,3,1,4,0,0,10,3,0,0
