oracle,iters,attributes,domain,measurements,records,temperature,epsilon,seed,learning_rate,selection,skiperror,time,error_in,error_out,baseline_in,dist_noisy
approx,25,100,10,1,10000,3.0,1.0,0,1e-05,random,True,0.032587289810180664,,,,
approx,25,100,10,1,10000,3.0,1.0,0,1e-05,greedy,True,0.026431560516357422,,,,
exact,25,100,10,2,10000,3.0,1.0,0,1e-05,greedy,True,1.3789148330688477,,,,
exact,25,100,10,2,10000,3.0,1.0,0,1e-05,random,True,1.2598512172698975,,,,
exact,25,100,10,1,10000,3.0,1.0,0,1e-05,random,True,1.3590593338012695,,,,
exact,25,100,10,1,10000,3.0,1.0,0,1e-05,greedy,True,1.466928243637085,,,,
approx,25,100,10,3,10000,3.0,1.0,0,1e-05,random,True,0.12453174591064453,,,,
approx,25,100,10,2,10000,3.0,1.0,0,1e-05,random,True,0.04507017135620117,,,,
approx,25,100,10,5,10000,3.0,1.0,0,1e-05,random,True,0.1615142822265625,,,,
approx,25,100,10,3,10000,3.0,1.0,0,1e-05,greedy,True,0.20671629905700684,,,,
exact,25,100,10,3,10000,3.0,1.0,0,1e-05,random,True,1.2507266998291016,,,,
approx,25,100,10,4,10000,3.0,1.0,0,1e-05,random,True,0.14120793342590332,,,,
exact,25,100,10,3,10000,3.0,1.0,0,1e-05,greedy,True,1.3965113162994385,,,,
approx,25,100,10,4,10000,3.0,1.0,0,1e-05,greedy,True,0.3370513916015625,,,,
exact,25,100,10,6,10000,3.0,1.0,0,1e-05,random,True,1.1885945796966553,,,,
approx,25,100,10,6,10000,3.0,1.0,0,1e-05,random,True,0.17018699645996094,,,,
exact,25,100,10,6,10000,3.0,1.0,0,1e-05,greedy,True,1.4220097064971924,,,,
exact,25,100,10,4,10000,3.0,1.0,0,1e-05,random,True,1.209423303604126,,,,
exact,25,100,10,5,10000,3.0,1.0,0,1e-05,greedy,True,1.4213628768920898,,,,
approx,25,100,10,7,10000,3.0,1.0,0,1e-05,random,True,0.23268628120422363,,,,
approx,25,100,10,2,10000,3.0,1.0,0,1e-05,greedy,True,0.09738564491271973,,,,
approx,25,100,10,6,10000,3.0,1.0,0,1e-05,greedy,True,0.5555529594421387,,,,
exact,25,100,10,4,10000,3.0,1.0,0,1e-05,greedy,True,1.3767712116241455,,,,
exact,25,100,10,7,10000,3.0,1.0,0,1e-05,random,True,1.1989240646362305,,,,
exact,25,100,10,7,10000,3.0,1.0,0,1e-05,greedy,True,1.4438624382019043,,,,
exact,25,100,10,5,10000,3.0,1.0,0,1e-05,random,True,1.2614717483520508,,,,
approx,25,100,10,9,10000,3.0,1.0,0,1e-05,random,True,0.3232133388519287,,,,
