oracle,dataset,iters,measurements,kway,epsilon,seed,noisy_error,error,time
gum,fire,10000,1,3,1.0,0,0.025984592671654462,0.004706288653719565,0.16214680671691895
gum,fire,10000,2,2,1.0,0,0.0014338269249267372,0.0009277576885451088,0.016695737838745117
gum,fire,10000,1,2,1.0,0,0.002142595931833997,0.001435186226988979,0.012412786483764648
gum,adult,10000,1,2,1.0,0,0.05772062529731398,0.04709223775394994,0.05422329902648926
convex,fire,10000,1,2,1.0,0,0.002142595931833997,0.0014871981621963858,6.540362596511841
gum,fire,10000,2,3,1.0,0,0.01315443898998395,0.002823778834722138,0.16895341873168945
gum,adult,10000,1,3,1.0,0,0.002604891090576698,0.0024023093055752015,0.004072427749633789
gum,fire,10000,4,2,1.0,0,0.0014649596488960082,0.000751091580024491,1.7509708404541016
convex,fire,10000,1,3,1.0,0,0.025984592671654462,0.007579830636592746,8.788639545440674
gum,adult,10000,2,2,1.0,0,0.04807452156188577,0.03177245211032459,0.08739709854125977
gum,adult,10000,2,3,1.0,0,0.0030368344569771735,0.0023937589387134136,0.3137528896331787
gum,fire,10000,8,2,1.0,0,0.001741899901123208,0.0011484304573059856,4.347055673599243
gum,loans,10000,1,2,1.0,0,0.01989026855258729,0.0005011234940909371,0.01752758026123047
convex,adult,10000,1,3,1.0,0,0.002604891090576698,0.0025066724383983096,6.49741530418396
convex,adult,10000,1,2,1.0,0,0.05772062529731398,0.04599686887284264,7.270658016204834
gum,adult,10000,4,2,1.0,0,0.044696481398935825,0.021247718494056364,8.14051866531372
gum,loans,10000,2,2,1.0,0,0.32220463025349205,0.01195943740200922,1.077998161315918
gum,loans,10000,1,3,1.0,0,0.937435499792632,0.18662248768442055,1.23787522315979
gum,fire,10000,16,2,1.0,0,0.0012377568024408063,0.0007923047927666098,6.760996103286743
convex,fire,10000,2,2,1.0,0,0.0014338269249267372,0.0011148767275800438,11.9588303565979
gum,loans,10000,4,2,1.0,0,0.30989298985987374,0.04459327801222174,3.246480941772461
convex,fire,10000,2,3,1.0,0,0.01315443898998395,0.004255960752642628,14.391719579696655
convex,loans,10000,1,2,1.0,0,0.01989026855258729,0.001297697787474117,7.027726650238037
convex,adult,10000,2,2,1.0,0,0.04807452156188577,0.033057757874142835,13.401260375976562
gum,stroke,10000,1,2,1.0,0,0.01645163601868305,0.015893190308077634,0.007490396499633789
gum,stroke,10000,1,3,1.0,0,0.2190820991096294,0.01764940223012861,0.08224272727966309
gum,stroke,10000,2,2,1.0,0,0.012904046958741906,0.011105860161210257,0.2936820983886719
gum,stroke,10000,2,3,1.0,0,0.15363278555719562,0.010155847936097875,0.11196017265319824
gum,fire,10000,32,2,1.0,0,0.001672638858374761,0.0008383663055993321,17.772995471954346
convex,stroke,10000,1,2,1.0,0,0.01645163601868305,0.01537204569991694,6.448660135269165
gum,fire,10000,4,3,1.0,0,0.017666792804939477,0.002141652884200096,22.951984882354736
gum,stroke,10000,8,2,1.0,0,0.06015474857442032,0.007457383000616205,3.7006702423095703
gum,stroke,10000,4,2,1.0,0,0.1072696180054964,0.0121048315507001,3.8497660160064697
convex,stroke,10000,1,3,1.0,0,0.2190820991096294,0.02038426699388224,7.8820366859436035
gum,msnbc,10000,2,2,1.0,0,0.0007255932938173117,0.0006959142144152548,0.025432348251342773
gum,msnbc,10000,1,3,1.0,0,0.012365950547788798,0.007950108999068136,0.2686636447906494
