oracle,dataset,iters,measurements,kway,epsilon,seed,noisy_error,error,time
gum,adult,10000,32,2,0.1,0,2.817465952323102,0.19561078664177114,63.29114127159119
gum,adult,10000,32,2,0.31622776601683794,0,0.8944512018987383,0.10210822957856516,63.54302740097046
gum,adult,10000,32,2,0.03162277660168379,0,8.880525187839677,0.35198257822147927,63.279454946517944
gum,adult,10000,32,2,0.01,0,27.973320725097835,0.5429360493353815,64.02305793762207
gum,adult,10000,32,2,31.622776601683793,0,0.01250158328893771,0.004015951479374403,57.95672059059143
gum,adult,10000,32,2,10.0,0,0.03241816181405898,0.009456361581874788,59.55942893028259
gum,adult,10000,32,2,3.1622776601683795,0,0.09302546788897789,0.02291061631036295,65.6718521118164
gum,adult,10000,32,2,31.622776601683793,0,0.01237709056581387,0.0039978035939624,62.46797561645508
gum,adult,10000,32,2,100.0,0,0.005420696561579047,0.0017642968961411741,62.3523736000061
gum,adult,10000,32,2,1.0,0,0.28476415944268085,0.050707122957160886,64.96687889099121
gum,adult,10000,32,2,10.0,0,0.03239842333170257,0.009402494451004106,65.1963403224945
gum,adult,10000,32,2,0.31622776601683794,0,0.8966816528862335,0.09943809190495281,65.12675952911377
gum,adult,10000,32,2,1.0,0,0.28647914731580243,0.05068051993931827,68.18012309074402
gum,adult,10000,32,2,0.1,0,2.819218781459116,0.19725900698719817,65.19752097129822
gum,adult,10000,32,2,0.01,0,28.012061625446304,0.5247911295894635,64.65392827987671
gum,adult,10000,32,2,31.622776601683793,0,0.012469971510951597,0.004038702815930851,65.3059995174408
gum,adult,10000,32,2,0.31622776601683794,0,0.8900102877644848,0.09895617025855967,68.22749876976013
gum,adult,10000,32,2,0.1,0,2.827918072598567,0.20041375995649469,68.09894824028015
119812
gum,adult,10000,32,2,0.03162277660168379,0,8.884271031003038,0.35225120295686013,65.2833194732666
gum,adult,10000,32,2,0.03162277660168379,0,8.837756411244419,0.3654476697323352,68.12424278259277
gum,adult,10000,32,2,3.1622776601683795,0,0.09363317836431202,0.022613728436971032,67.08255195617676
gum,adult,10000,32,2,10.0,0,0.03215923684602948,0.009514588875496569,67.1906464099884
gum,adult,10000,32,2,3.1622776601683795,0,0.09337095737630297,0.0233555112540722,67.54557991027832
gum,adult,10000,32,2,1.0,0,0.2853147553834223,0.05120224648138308,67.23826217651367
gum,adult,10000,32,2,100.0,0,0.005424742720317606,0.001767406791627501,69.02826833724976
gum,adult,10000,32,2,0.01,0,28.079864940991772,0.5308987045210668,69.04805159568787
66.9805269241333
gum,adult,10000,32,2,31.622776601683793,0,0.01254636402588308,0.003997796980612965,67.65384793281555
gum,adult,10000,32,2,0.31622776601683794,0,0.8940358651795716,0.10032089761057864,67.5949444770813
gum,adult,10000,32,2,0.03162277660168379,0,8.874564385741568,0.34591093321918753,67.16668701171875
gum,adult,10000,32,2,1.0,0,0.2853716380949079,0.05110759825541753,67.60003447532654
gum,adult,10000,32,2,0.31622776601683794,0,0.8913846103201705,0.10246811725115437,67.3802969455719
gum,adult,10000,32,2,0.1,0,2.819457044049796,0.20078175492844322,67.5354232788086
gum,adult,10000,32,2,100.0,0,0.0054410755497291295,0.001776048193395063,67.4212396144867
gum,adult,10000,32,2,0.01,0,27.99090168221449,0.4891120132275555,67.31749725341797
gum,adult,10000,32,2,0.1,0,2.8037962296036656,0.18830319717682178,68.06111216545105
gum,adult,10000,32,2,3.1622776601683795,0,0.09307620193473844,0.022585676896830442,70.4424376487732
gum,adult,10000,32,2,0.03162277660168379,0,8.913570423181676,0.3466723018885249,67.71001696586609
