workload,oracle,iters,epsilon,delta,restarts,seed,expected error,observed error,queries
fire,1,convex,30000,1.0,0.0,1,0,7560.0,2707.1919634792066,3780
fire,2,convex,30000,1.0,0.0,1,0,14335.30225311491,8391.006509233594,3828
fire,1,exact,30000,1.0,0.0,1,0,7560.0,2387.0645283466256,3780
fire,2,exact,30000,1.0,0.0,1,0,14335.30225311491,6531.5838635802165,3828
fire,4,convex,30000,1.0,0.0,1,0,175866.6616503862,69832.19294984423,10260
fire,8,convex,30000,1.0,0.0,1,0,2254821.5104110064,788387.4181917605,28552
fire,4,exact,30000,1.0,0.0,1,0,175866.6616503862,59737.392509295474,10260
fire,8,exact,30000,1.0,0.0,1,0,2254821.5104110064,726090.9003723874,28552
fire,16,convex,30000,1.0,0.0,1,0,11736872.829825995,3860431.2546752538,37947
fire,32,convex,30000,1.0,0.0,1,0,115967456.08201586,31272682.994702574,141051
fire,64,convex,30000,1.0,0.0,1,0,1181756480.776411,226763008.11996403,343495
fire,1,convex,30000,1.0,0.0,1,0,7560.0,2625.147028096323,3780
fire,1,convex,30000,1.0,0.0,1,0,7560.0,2498.494496048154,3780
fire,1,convex,30000,1.0,0.0,1,0,7560.0,2793.8035361752463,3780
fire,1,convex,30000,1.0,0.0,1,0,7560.0,2452.961655249477,3780
fire,2,convex,30000,1.0,0.0,1,0,14335.30225311491,5078.711422753301,3828
fire,2,convex,30000,1.0,0.0,1,0,14335.30225311491,6576.8978276562375,3828
fire,2,convex,30000,1.0,0.0,1,0,14335.30225311491,5892.2890525784005,3828
fire,2,convex,30000,1.0,0.0,1,0,14335.30225311491,6308.994647060253,3828
fire,4,convex,30000,1.0,0.0,1,0,175866.6616503862,58887.39813657952,10260
fire,4,convex,30000,1.0,0.0,1,0,175866.6616503862,63256.91284490071,10260
fire,4,convex,30000,1.0,0.0,1,0,175866.6616503862,77769.44617006814,10260
fire,4,convex,30000,1.0,0.0,1,0,175866.6616503862,67610.20090871977,10260
fire,4,exact,30000,1.0,0.0,1,0,175866.6616503862,61252.97165547556,10260
fire,4,exact,30000,1.0,0.0,1,0,175866.6616503862,59696.81737392786,10260
fire,2,exact,30000,1.0,0.0,1,0,14335.30225311491,6314.542034999842,3828
fire,4,exact,30000,1.0,0.0,1,0,175866.6616503862,60312.07695119201,10260
fire,4,exact,30000,1.0,0.0,1,0,175866.6616503862,62877.69300496547,10260
fire,2,exact,30000,1.0,0.0,1,0,14335.30225311491,6315.249749008136,3828
fire,2,exact,30000,1.0,0.0,1,0,14335.30225311491,5991.24147280877,3828
fire,2,exact,30000,1.0,0.0,1,0,14335.30225311491,7160.057591589506,3828
fire,1,exact,30000,1.0,0.0,1,0,7560.0,2616.93665753905,3780
fire,1,exact,30000,1.0,0.0,1,0,7560.0,2874.9175335271616,3780
fire,1,exact,30000,1.0,0.0,1,0,7560.0,2368.7767471165184,3780
fire,1,exact,30000,1.0,0.0,1,0,7560.0,2883.2022639431125,3780
fire,8,exact,30000,1.0,0.0,1,0,2254821.5104110064,748390.658891612,28552
fire,8,exact,30000,1.0,0.0,1,0,2254821.5104110064,783153.509396029,28552
